frame,time_s,phase,board_x,board_y,board_z,gun_x,gun_y,gun_z,nozzle_x,nozzle_y,nozzle_z,robot_x,robot_y,robot_z,ground_target_x,ground_target_y,ground_column_index,ground_row,robot_yaw_deg,active_fastener_index,state,arm_pose,collision_active,contact_force_n,tool_pressure,nails_installed,board_grasped,tool_grasped,nailing_reference_time_s,nailing_reference_frame,robot_label
0,0.0,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-3.0,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
1,0.0333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9999175925925927,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
2,0.0667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.999674074074074,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
3,0.1,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.999275,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
4,0.1333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.998725925925926,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
5,0.1667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9980324074074076,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
6,0.2,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9972,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
7,0.2333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9962342592592592,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
8,0.2667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.995140740740741,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
9,0.3,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.993925,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
