frame,time_s,board_x,board_y,board_z,gun_x,gun_y,gun_z,nozzle_x,nozzle_y,nozzle_z,robot_x,robot_y,robot_z,ground_target_x,ground_target_y,ground_column_index,ground_row,robot_yaw_deg,active_fastener_index,state,arm_pose,collision_active,contact_force_n,tool_pressure,nails_installed,tool_grasped,robot_label
0,0.0,-0.1,0.28,1.45,-2.1999999999999997,-3.3,1.59,-2.1999999999999997,-3.1399999999999997,1.34,-2.8,-3.0,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
1,0.0333,-0.1,0.28,1.45,-2.1997296188316593,-3.2992753784688476,1.59,-2.1997296188316593,-3.1392753784688474,1.34,-2.7997296188316594,-2.9992753784688477,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
2,0.0667,-0.1,0.28,1.45,-2.1989253860274265,-3.2971200345535037,1.59,-2.1989253860274265,-3.1371200345535035,1.34,-2.7989253860274266,-2.997120034553504,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
3,0.1,-0.1,0.28,1.45,-2.1975976676384836,-3.2935617492711367,1.59,-2.1975976676384836,-3.1335617492711365,1.34,-2.7975976676384837,-2.993561749271137,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
4,0.1333,-0.1,0.28,1.45,-2.195756829716013,-3.288628303638916,1.59,-2.195756829716013,-3.1286283036389158,1.34,-2.795756829716013,-2.988628303638916,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
5,0.1667,-0.1,0.28,1.45,-2.193413238311197,-3.282347478674009,1.59,-2.193413238311197,-3.122347478674009,1.34,-2.793413238311197,-2.982347478674009,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
6,0.2,-0.1,0.28,1.45,-2.1905772594752184,-3.274747055393586,1.59,-2.1905772594752184,-3.1147470553935857,1.34,-2.7905772594752185,-2.974747055393586,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
7,0.2333,-0.1,0.28,1.45,-2.187259259259259,-3.2658548148148148,1.59,-2.187259259259259,-3.1058548148148146,1.34,-2.787259259259259,-2.965854814814815,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
8,0.2667,-0.1,0.28,1.45,-2.1834696037145016,-3.2556985379548644,1.59,-2.1834696037145016,-3.0956985379548643,1.34,-2.7834696037145017,-2.9556985379548646,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
9,0.3,-0.1,0.28,1.45,-2.179218658892128,-3.2443060058309037,1.59,-2.179218658892128,-3.0843060058309035,1.34,-2.779218658892128,-2.944306005830904,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
10,0.3333,-0.1,0.28,1.45,-2.174516790843321,-3.2317049994601015,1.59,-2.174516790843321,-3.0717049994601013,1.34,-2.7745167908433213,-2.9317049994601017,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
11,0.3667,-0.1,0.28,1.45,-2.1693743656192632,-3.2179232998596263,1.59,-2.1693743656192632,-3.057923299859626,1.34,-2.7693743656192633,-2.9179232998596265,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
12,0.4,-0.1,0.28,1.45,-2.1638017492711366,-3.202988688046647,1.59,-2.1638017492711366,-3.042988688046647,1.34,-2.7638017492711366,-2.9029886880466473,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
13,0.4333,-0.1,0.28,1.45,-2.157809307850124,-3.1869289450383325,1.59,-2.157809307850124,-3.0269289450383323,1.34,-2.757809307850124,-2.8869289450383326,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
14,0.4667,-0.1,0.28,1.45,-2.151407407407407,-3.1697718518518516,1.59,-2.151407407407407,-3.0097718518518515,1.34,-2.7514074074074073,-2.869771851851852,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
15,0.5,-0.1,0.28,1.45,-2.1446064139941687,-3.151545189504373,1.59,-2.1446064139941687,-2.991545189504373,1.34,-2.744606413994169,-2.8515451895043733,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
16,0.5333,-0.1,0.28,1.45,-2.1374166936615913,-3.1322767390130655,1.59,-2.1374166936615913,-2.9722767390130653,1.34,-2.7374166936615913,-2.8322767390130656,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
17,0.5667,-0.1,0.28,1.45,-2.129848612460857,-3.1119942813950976,1.59,-2.129848612460857,-2.9519942813950975,1.34,-2.729848612460857,-2.8119942813950978,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
18,0.6,-0.1,0.28,1.45,-2.1219125364431486,-3.0907255976676384,1.59,-2.1219125364431486,-2.9307255976676383,1.34,-2.7219125364431487,-2.7907255976676386,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
19,0.6333,-0.1,0.28,1.45,-2.1136188316596476,-3.0684984688478565,1.59,-2.1136188316596476,-2.9084984688478563,1.34,-2.7136188316596477,-2.7684984688478567,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
20,0.6667,-0.1,0.28,1.45,-2.1049778641615373,-3.0453406759529207,1.59,-2.1049778641615373,-2.8853406759529205,1.34,-2.7049778641615374,-2.745340675952921,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
21,0.7,-0.1,0.28,1.45,-2.0959999999999996,-3.02128,1.59,-2.0959999999999996,-2.86128,1.34,-2.6959999999999997,-2.72128,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
22,0.7333,-0.1,0.28,1.45,-2.0866956052262173,-2.996344222006263,1.59,-2.0866956052262173,-2.8363442220062627,1.34,-2.6866956052262174,-2.696344222006263,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
