frame,time_s,board_x,board_y,board_z,gun_x,gun_y,gun_z,state,collision_active,contact_force_n,tool_pressure,nails_installed,robot_label
0,0.0,-3.0,-2.7,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
1,0.0333,-2.9516666666666667,-2.6503333333333337,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
2,0.0667,-2.9033333333333333,-2.6006666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
3,0.1,-2.855,-2.551,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
4,0.1333,-2.8066666666666666,-2.5013333333333336,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
5,0.1667,-2.7583333333333333,-2.4516666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
6,0.2,-2.71,-2.402,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
7,0.2333,-2.6616666666666666,-2.3523333333333336,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
8,0.2667,-2.6133333333333333,-2.3026666666666666,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
9,0.3,-2.565,-2.253,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
10,0.3333,-2.5166666666666666,-2.2033333333333336,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
11,0.3667,-2.4683333333333333,-2.153666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
12,0.4,-2.42,-2.104,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
13,0.4333,-2.3716666666666666,-2.054333333333333,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
14,0.4667,-2.3233333333333333,-2.0046666666666666,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
15,0.5,-2.275,-1.955,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
16,0.5333,-2.2266666666666666,-1.9053333333333335,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
17,0.5667,-2.1783333333333332,-1.8556666666666668,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
18,0.6,-2.13,-1.806,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
19,0.6333,-2.081666666666667,-1.7563333333333335,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
20,0.6667,-2.033333333333333,-1.7066666666666668,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
21,0.7,-1.985,-1.657,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
22,0.7333,-1.9366666666666668,-1.6073333333333335,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
23,0.7667,-1.8883333333333332,-1.5576666666666665,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
24,0.8,-1.84,-1.508,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
25,0.8333,-1.7916666666666667,-1.4583333333333333,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
26,0.8667,-1.7433333333333334,-1.4086666666666665,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
27,0.9,-1.695,-1.359,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
28,0.9333,-1.6466666666666667,-1.3093333333333332,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
29,0.9667,-1.5983333333333334,-1.2596666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
30,1.0,-1.55,-1.21,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
31,1.0333,-1.5016666666666665,-1.1603333333333332,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
32,1.0667,-1.4533333333333334,-1.1106666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
33,1.1,-1.405,-1.0609999999999997,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
34,1.1333,-1.3566666666666667,-1.0113333333333334,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
35,1.1667,-1.3083333333333333,-0.9616666666666664,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
36,1.2,-1.26,-0.9119999999999999,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
37,1.2333,-1.2116666666666667,-0.8623333333333332,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
38,1.2667,-1.1633333333333336,-0.8126666666666666,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
39,1.3,-1.115,-0.7629999999999999,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
40,1.3333,-1.0666666666666669,-0.7133333333333334,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
41,1.3667,-1.0183333333333333,-0.6636666666666664,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
42,1.4,-0.9700000000000002,-0.6139999999999999,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
43,1.4333,-0.9216666666666669,-0.5643333333333334,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
44,1.4667,-0.8733333333333335,-0.5146666666666668,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
45,1.5,-0.8250000000000002,-0.46499999999999986,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
46,1.5333,-0.7766666666666664,-0.4153333333333329,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
47,1.5667,-0.7283333333333335,-0.36566666666666636,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
48,1.6,-0.6800000000000002,-0.31599999999999984,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
