frame,time_s,board_x,board_y,board_z,gun_x,gun_y,gun_z,state,collision_active,contact_force_n,tool_pressure,nails_installed
0,0.0,-3.0,-2.6,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
1,0.0333,-2.9516666666666667,-2.5613333333333332,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
2,0.0667,-2.9033333333333333,-2.522666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
3,0.1,-2.855,-2.484,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
4,0.1333,-2.8066666666666666,-2.4453333333333336,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
5,0.1667,-2.7583333333333333,-2.4066666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
6,0.2,-2.71,-2.368,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
7,0.2333,-2.6616666666666666,-2.3293333333333335,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
8,0.2667,-2.6133333333333333,-2.2906666666666666,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
9,0.3,-2.565,-2.2520000000000002,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
